SRR1566022	SRR1566023	SRR1566024	SRR1566028	SRR1566029	SRR1566030	SRR2773794	SRR2773795	SRR2773796	SRR2773797	SRR2773798	SRR2773799
16709	12861	15945	11294	11887	12805	10511	14753	23546	15028	1123	18396
1870	247	699	445	390	435	764	618	705	952	54	1348
3442	635	1339	80	53	68	935	899	875	1033	43	1729
1429	284	585	17	15	15	685	349	876	1063	22	771
100	43	37	7	5	10	62	79	108	118	3	96
4604	5908	6799	2394	3766	3319	2006	2724	6314	5121	327	2917
1511	1243	1723	1769	1050	1305	1138	1648	2195	1393	89	1896
3	2	0	1	0	3	2	3	6	1	5	1
4	1	1	1	2	2	3	2	1	16	10	0
1	1	1	0	0	0	2	1	0	1	0	0
1782	227	787	290	71	165	599	354	336	610	19	954
37	6	8	36	14	26	27	11	10	31	24	18
74	21	40	39	23	31	62	51	84	67	33	61
5096	2183	3508	3802	2784	3440	3022	3618	5096	3945	110	5335
8153	2852	3357	3955	2058	2510	4360	3468	4761	6323	101	4603
871	1012	2582	58	65	53	542	185	517	801	120	565
674	258	254	409	168	301	446	278	432	498	12	352
36	19	57	77	97	112	55	59	107	74	3	76
1152	164	276	127	98	54	90	97	150	185	14	87
1430	212	507	91	61	26	28	10	25	99	24	54
13	1	15	2	0	1	4	2	0	2	0	3
4	2	6	4	2	2	5	1	8	5	1	5
34	16	9	43	20	26	31	20	38	34	3	27
4093	793	1022	2616	1472	1752	3017	1587	2816	4469	64	2318
795	314	262	303	231	227	392	396	446	493	12	310
4634	1776	1526	2978	1889	1843	3273	2357	2978	4496	86	2352
17	7	7	19	6	4	17	12	12	16	0	9
6	0	8	7	1	1	1	3	4	1	0	17
678	367	324	598	362	355	532	526	552	680	30	462
1	0	7	7	6	5	2	0	1	0	0	18
5	3	6	1	1	0	2	5	7	1	1	8
17	16	17	8	5	9	20	16	21	9	0	18
3244	1438	1558	2395	1676	1804	2450	2202	2780	3289	92	2314
17219	10969	10515	12227	10566	9780	14312	16808	21166	18833	736	16856
1936	857	898	1294	776	842	1245	1105	1495	1634	52	1348
6474	3221	2660	4499	3182	2926	5423	4649	5700	7071	522	4157
3002	2678	4189	4985	5189	5369	2777	4301	6219	3591	154	6334
481	495	436	49	79	72	282	331	414	373	249	307
254	214	333	26	28	45	148	111	269	202	126	180
286	164	223	47	31	36	220	158	319	273	218	221
131	139	133	100	122	163	165	145	300	187	264	251
238	191	205	66	80	113	150	120	192	211	302	132
2264	1675	1309	756	834	637	1191	1551	1800	1780	40	1359
390	199	237	70	75	66	232	202	403	332	236	277
2	0	1	0	0	0	0	1	2	1	0	0
279	178	290	40	58	53	148	111	262	202	156	213
568	552	459	37	51	37	271	338	503	346	281	334
34	18	23	18	18	27	14	17	30	28	16	23
308	257	255	39	64	74	175	148	252	219	279	176
140	155	137	94	141	172	146	143	270	196	293	231
10	15	9	20	8	14	4	5	8	8	2	10
2477	1054	912	1668	1037	951	1861	1339	1765	2466	45	1413
4668	2087	1889	1994	1430	1324	3308	2538	3225	4701	105	2347
