SRR1566022	SRR1566023	SRR1566024	SRR1566028	SRR1566029	SRR1566030	SRR2773794	SRR2773795	SRR2773796	SRR2773797	SRR2773798	SRR2773799
3	3	4	4	4	2	1	3	5	1	0	3
75	38	67	16	25	16	12	15	41	32	0	30
71	38	60	16	24	14	10	14	40	31	0	23
4439	2154	2059	2697	2323	2319	3389	3285	4316	4404	937	3375
2100	785	820	1695	1470	1896	1723	1621	2355	2030	245	1669
9627	6519	4638	8620	10846	20909	8212	12998	23971	3767	476	7148
19890	8316	16753	22246	15226	19199	13459	16984	28669	18148	695	29778
1150	195	474	446	732	446	111	82	215	188	44	168
17933	16454	21844	19010	23474	22832	14708	24217	41074	21721	1030	32537
48	24	29	119	39	63	35	58	59	69	1	81
7	1	1	0	2	0	0	0	1	1	0	3
3	3	1	3	1	0	1	0	0	1	0	4
7308	3314	2547	4768	3402	3229	5734	4802	5918	7446	437	4511
990	1378	1224	2481	2395	2735	1703	3547	4398	1342	210	2698
390	543	495	1082	951	1039	669	1292	1624	520	55	857
869	713	749	1535	1090	1244	964	1590	1997	958	163	1714
421	76	172	528	266	265	274	228	186	267	20	595
1	3	3	3	14	9	6	7	28	2	7	15
61	28	28	1	1	1	29	40	29	61	0	51
5261	3327	3675	6352	5329	5391	4934	6786	8342	6911	910	7821
0	0	0	0	0	0	0	0	0	0	0	0
5273	1704	1901	3671	2016	2319	3304	2587	3505	4634	58	3270
13	5	9	0	0	0	1	4	4	4	0	6
4	3	2	0	0	2	0	1	1	0	0	1
8704	4582	4656	9834	7087	6938	7924	8072	10856	9577	274	8483
924	373	516	941	520	705	658	554	1034	955	15	895
1806	775	549	1173	846	709	1261	1068	1110	1627	25	949
3257	1787	1619	2994	2416	2541	2716	2783	3911	3365	111	2780
2621	1983	2106	6265	4797	6727	3869	6122	8443	4757	120	5173
294	238	269	40	47	50	163	118	209	215	185	162
159	155	154	19	25	28	90	108	164	113	137	98
390	311	330	215	293	267	345	349	507	480	540	381
400	313	335	229	319	272	362	356	511	501	540	388
2563	1348	804	1691	1614	968	1726	1594	1509	2480	37	1268
634	172	231	375	147	214	356	229	343	440	15	343
3629	1717	1295	2798	1768	1348	2635	1985	2204	3716	55	1782
2287	831	772	1318	821	732	1279	994	1271	1903	27	1013
3702	1210	1313	2153	1406	1501	2170	1733	2062	2997	54	1978
3212	1837	2188	2744	2611	2665	2600	2975	4364	3767	69	3392
4359	2601	2634	3263	3069	2903	3626	3896	5616	4919	121	4107
4697	1676	1281	2520	1639	1418	3509	2226	2566	4797	115	2137
2062	1082	931	1172	829	741	1321	1159	1443	1924	27	1247
2808	1395	1501	3248	2111	2306	2386	2270	3187	3660	86	2803
7702	3371	6099	7138	6256	6308	4487	6910	8330	5817	283	9042
5556	2386	4761	5563	5218	5310	3266	5412	6577	4334	191	7347
4716	1541	1386	2207	1126	1254	2676	1764	2415	3706	49	2113
22	13	39	33	35	27	14	44	53	18	3	53
365	179	209	383	374	507	298	444	706	230	12	458
74	29	22	38	28	36	40	37	40	37	1	36
38	12	10	23	17	12	13	16	18	20	0	14
5525	2185	2521	3197	2643	2933	4111	3820	5811	5573	125	4192
249	49	110	579	767	635	370	395	466	568	19	635
162	110	167	31	39	49	112	82	192	142	136	137
599	563	588	217	311	282	447	468	673	549	687	577
365	336	405	126	178	175	298	286	432	347	354	374
171	164	194	25	30	40	99	87	157	87	131	131
293	228	253	116	107	141	225	256	371	288	210	285
2044	623	704	2042	1374	1055	1805	1170	1556	2466	38	1178
1411	571	612	1054	581	640	1009	723	886	1209	28	813
121	46	82	40	26	47	72	63	142	68	1	130
2620	994	1848	3969	1697	2201	1987	2152	3951	2652	104	3818
1400	525	478	809	573	504	706	618	682	998	39	677
1201	838	923	860	631	745	844	975	1486	1296	33	1137
4	5	2	0	0	0	0	0	0	1	0	0
1134	805	868	771	570	623	788	892	1333	1212	29	1017
134	79	98	98	64	121	101	115	189	118	5	134
4244	2123	1857	2534	2160	2028	2890	2759	3464	3872	86	2834
3187	1016	880	1699	951	988	2122	1283	1673	3064	67	1468
44	40	45	64	47	45	28	52	65	39	0	66
6422	5084	4584	3049	3730	3320	4838	6183	8989	6548	174	6454
6012	4894	4385	2914	3639	3219	4628	5923	8687	6238	165	6181
5906	1603	2116	3288	2902	2672	2335	2970	3585	3053	162	3811
409	456	421	238	170	190	256	401	583	209	11	418
1	1	0	73	76	60	80	77	93	71	9	61
